,Region,Pack_Size,Commodity,Organic_new1,Low_Price,High_Price,HEB_Price_Gallon,year,month,day,Store_Demand_Rand_NORMDIST
3503,1,0,0,0,2.29,2.88,2.8,3,0,15,8.15087580670176
13698,4,7,2,0,3.0,3.0,3.0,1,8,19,8.701160561891434
279,3,0,0,0,1.5,3.5,1.67,2,4,15,8.078781756422401
13688,3,4,2,1,1.0,1.0,1.0,1,8,5,8.24299079033407
12559,5,8,2,0,1.25,1.66,1.44,3,6,2,8.437197789167021
14715,2,7,2,0,1.99,3.49,2.39,4,9,6,8.57549983051223
2029,5,2,1,0,2.99,2.99,2.99,3,7,27,8.516417276628118
12862,4,7,2,0,1.99,3.29,2.51,3,9,22,8.567898344642453
1435,3,1,1,0,5.0,5.0,5.0,3,4,7,7.8710090956125764
444,1,2,1,0,2.99,2.99,2.99,2,6,10,8.440494050603256
13545,1,8,2,1,2.99,4.29,3.02,1,4,30,8.599574349779246
5228,1,2,1,0,4.99,4.99,4.99,3,11,17,8.717032508120706
11478,6,4,2,1,1.0,1.0,1.0,3,9,8,8.144688614760472
667,5,3,1,0,5.99,5.99,5.99,2,9,16,8.447170977119574
12963,6,7,2,0,1.99,3.79,3.13,3,11,3,8.717934835386492
4513,1,1,1,0,2.99,2.99,2.99,3,6,30,8.270347008854554
14503,1,8,2,1,2.99,4.79,3.02,4,6,21,8.51891352005797
14177,2,8,2,0,2.99,2.99,2.99,4,3,0,8.45075583855456
10306,1,8,2,0,2.5,2.5,2.5,2,0,9,8.463524167386302
8371,1,0,0,1,4.49,4.49,4.49,4,9,27,8.03645179355388
14645,3,8,2,1,2.99,4.49,3.3,4,8,8,8.414321133763512
3144,4,5,1,1,3.87,3.87,3.87,2,7,7,8.591626089031772
13795,1,8,2,1,3.49,4.0,3.92,1,11,12,8.372535586093088
2408,3,6,1,0,1.79,3.19,1.95,3,10,12,8.614265694116835
1592,6,0,0,0,1.99,3.99,3.89,3,5,4,8.015591226441225
10727,5,8,2,1,3.49,3.49,3.49,2,11,11,8.46872108755823
55,2,2,1,0,4.39,4.99,4.72,2,0,23,8.521271411793816
8133,3,6,1,0,0.99,3.5,3.05,4,8,8,8.772490222472646
14505,3,8,2,1,2.99,3.99,3.17,4,6,21,8.50345899563889
14667,3,4,2,1,1.0,1.0,1.0,4,8,15,8.139905960082
7283,1,2,1,0,2.99,3.99,3.34,4,1,25,8.633402323380032
11450,4,7,2,0,1.99,1.99,1.99,3,9,1,8.697147759160394
10748,4,8,2,0,2.19,2.59,2.39,3,0,15,8.394430750910612
11559,6,7,2,0,1.99,3.99,3.95,3,10,12,8.663134865139082
12329,6,7,2,1,6.98,6.98,6.98,3,3,16,8.346590842932038
9658,1,1,1,0,3.49,3.49,3.49,5,7,3,7.828943351524348
1716,5,2,1,0,2.99,2.99,2.99,3,5,25,8.355364861346704
5682,6,1,1,0,2.97,3.49,3.14,0,8,6,8.18583465810545
4233,2,5,1,0,1.59,3.0,1.99,3,5,4,8.613409194466918
14176,1,8,2,0,1.0,1.99,1.25,4,3,0,8.304433850122711
15519,5,4,2,1,1.0,1.0,1.0,5,7,24,8.286782887407606
14271,1,8,2,0,0.88,0.88,0.88,4,4,5,8.151045647869676
14712,5,8,2,0,1.25,2.79,1.27,4,9,6,8.501602748539325
7759,1,6,1,0,1.29,2.79,2.6,4,6,0,8.649993593301112
11444,2,8,2,0,2.99,2.99,2.99,3,9,1,8.35609306166011
10454,2,8,2,0,1.67,2.99,2.09,2,4,1,8.315573790261169
15796,1,7,2,1,6.99,6.99,6.99,5,11,14,8.507889049174599
8696,6,0,0,0,2.99,3.49,2.99,5,0,12,8.046015773635517
10922,3,7,2,1,5.39,5.39,5.39,3,2,26,8.469867739612798
7532,2,6,1,0,1.66,3.49,3.16,4,4,12,8.75529135300379
3543,3,5,1,0,2.5,3.49,3.36,3,0,22,8.7500448136819
6305,3,2,1,0,4.49,4.49,4.49,1,6,11,8.500956948048378
1317,2,5,1,0,1.49,3.0,1.68,3,3,16,8.416469324769329
12946,2,7,2,0,1.99,1.99,1.99,3,10,26,8.59061459335206
8898,2,0,0,1,5.79,5.79,5.79,5,1,23,7.820226405393396
4073,2,1,1,0,3.49,3.49,3.49,3,4,7,8.21725542760797
9005,2,0,0,0,2.49,4.49,3.71,5,2,23,8.14169600760566
3174,1,0,0,0,2.48,3.5,3.17,2,8,4,7.919265269633216
4956,2,0,0,0,3.0,3.99,3.54,3,9,29,8.080543027082566
1591,5,0,0,0,2.5,3.68,2.57,3,5,4,7.816624718770195
3345,6,6,1,0,1.98,3.0,2.38,2,9,30,8.784251606685462
9018,3,3,1,0,4.99,4.99,4.99,5,2,23,8.323096396699238
9373,3,0,0,0,2.5,3.49,2.99,5,5,15,7.98120994606284
4435,3,5,1,0,1.99,2.5,2.28,3,6,16,8.5556441957037
11299,5,8,2,1,2.99,3.49,3.43,3,7,6,8.469792900203416
4313,1,6,1,0,1.5,2.0,1.8,3,5,18,8.62602917211535
10708,3,7,2,0,3.79,3.79,3.79,2,10,27,8.608640277388687
9800,6,1,1,0,4.99,4.99,4.99,5,8,7,8.08768258602672
6283,4,0,0,0,1.98,1.98,1.98,1,6,11,7.7153539491718535
6035,4,3,1,0,6.99,7.99,7.75,1,2,21,8.518577293106596
7956,5,6,1,0,1.99,2.5,2.04,4,6,28,8.548738280654865
15233,4,8,2,1,2.99,3.99,3.99,5,4,11,8.309449159393042
3309,2,6,1,0,1.88,3.99,2.63,2,9,16,8.5872971844614
4783,1,5,1,0,1.66,2.5,1.8,3,8,24,8.784840046267663
8754,6,0,0,1,5.49,6.29,5.92,5,0,19,7.770392733001646
745,1,2,1,0,3.79,3.99,3.98,2,10,13,8.66172882706029
5041,1,3,1,0,4.97,4.97,4.97,3,10,12,8.497197328236009
8863,2,0,0,1,4.69,5.79,5.48,5,1,9,8.264026112035921
13208,1,8,2,1,2.29,4.09,3.75,0,7,9,8.636933757234274
4349,5,6,1,0,1.66,2.5,1.72,3,5,25,8.805641058089655
11422,5,7,2,1,4.99,4.99,4.99,3,8,17,8.638982943927884
15644,3,7,2,0,1.99,1.99,1.99,5,9,12,8.677512570535226
12627,2,8,2,0,1.99,2.0,1.99,3,6,30,8.4254187890846
14524,6,7,2,0,1.89,2.79,2.15,4,6,28,8.655569632223141
15788,1,7,2,0,1.88,3.29,2.31,5,11,14,8.624621244543622
12994,6,7,2,1,6.98,6.98,6.98,3,11,10,8.546981159887379
5435,2,2,1,0,4.99,4.99,4.99,0,4,3,8.550282580323843
8524,5,0,0,0,2.99,2.99,2.99,4,11,1,7.972288158555316
1613,6,6,1,0,1.67,2.5,1.93,3,5,4,8.450306824606994
3477,5,5,1,0,1.67,3.49,1.88,2,11,25,8.600867213439201
11309,4,8,2,0,1.59,1.59,1.59,3,7,13,8.615137803940378
2176,2,0,0,0,1.79,4.99,2.72,3,9,1,7.320330473032393
10527,3,4,2,1,1.0,1.0,1.0,2,5,26,8.221335320651376
1790,3,0,0,0,2.5,3.99,2.63,3,6,16,7.949920243592888
7139,6,2,1,0,3.5,3.99,3.53,4,2,3,8.517176698114456
2244,4,5,1,1,4.75,4.75,4.75,3,9,8,8.753621966848737
6174,3,2,1,0,2.99,2.99,2.99,1,4,16,8.635792511305068
15053,5,8,2,1,2.99,3.99,3.48,5,2,9,8.382559888152448
11548,1,7,2,1,6.49,6.49,6.49,3,10,5,8.286748683138445
12169,4,8,2,0,1.99,2.79,2.4,3,1,12,8.21889314969228
2670,3,0,0,0,2.5,2.5,2.5,2,0,23,7.264148837494573
2722,4,6,1,0,1.49,2.5,2.16,2,1,6,8.757150292849296
8427,3,1,1,0,2.99,2.99,2.99,4,10,10,8.22252279812181
13724,4,8,2,1,2.99,3.89,3.08,1,9,3,8.639807311710367
3161,5,1,1,0,3.0,4.98,3.0,2,7,21,8.154745387496654
8732,3,5,1,0,1.67,1.67,1.67,5,0,19,8.798433412700708
13558,3,7,2,0,2.99,2.99,2.99,1,5,13,8.54922147616593
12836,1,8,2,0,1.0,1.7,1.41,3,9,15,8.485475991212551
3948,2,6,1,1,3.99,3.99,3.99,3,3,9,8.679991631777156
5246,1,5,1,0,0.98,2.5,1.73,3,11,24,8.758851111696345
11407,5,4,2,1,1.0,1.0,1.0,3,8,10,8.130149753319534
7944,4,5,1,0,1.0,2.0,1.7,4,6,28,8.716701164325896
5217,3,1,1,0,2.99,3.99,3.57,3,11,17,8.079565873744492
14371,1,8,2,1,2.99,4.79,3.54,4,5,9,8.663522473904864
8541,2,6,1,0,1.66,2.5,1.67,4,11,1,8.696035092075123
8403,3,2,1,0,2.99,2.99,2.99,4,10,3,8.524364139030817
2038,6,0,0,0,2.5,3.99,3.53,3,8,3,8.015695655921876
8815,1,2,1,0,2.99,2.99,2.99,5,1,2,8.60907568802754
15309,5,8,2,0,1.5,2.5,2.39,5,5,15,8.572189358615056
5772,3,0,0,0,2.29,2.99,2.31,0,11,13,8.274699849039388
6598,6,1,1,0,2.99,3.99,3.15,1,11,12,8.069930274961152
6795,5,0,0,0,2.29,3.0,2.44,0,9,18,8.211513463862417
13937,3,8,2,1,4.29,4.29,4.29,4,0,0,8.566714791234977
9332,1,6,1,1,3.49,3.49,3.49,5,5,1,8.65414433039141
7815,6,0,0,1,5.99,6.99,5.99,4,5,23,8.016272027359305
14011,3,7,2,0,1.77,1.77,1.77,4,0,28,8.61911162921267
12817,5,7,2,1,4.99,4.99,4.99,3,9,1,8.47445104422008
3150,4,0,0,0,3.5,3.5,3.5,2,7,21,7.654453475209893
3414,6,3,1,0,5.99,7.99,6.85,2,10,27,8.634805390473312
13095,1,8,2,1,3.99,3.99,3.99,0,4,3,8.449321762441864
1365,1,6,1,0,1.69,2.99,2.64,3,3,23,8.48611191658149
6443,6,5,1,0,2.5,2.99,2.54,1,8,19,8.65945384565376
1599,1,1,1,0,2.99,2.99,2.99,3,5,4,8.006734200818041
7482,3,1,1,0,3.49,4.99,3.63,4,4,5,7.820228199054677
2179,5,0,0,0,3.09,3.09,3.09,3,9,1,7.809613621906306
10247,2,5,1,0,0.99,3.0,2.26,5,11,7,8.51582397431983
10809,2,4,2,1,1.0,1.0,1.0,3,1,5,8.113674463627625
13653,1,8,2,1,3.5,3.5,3.5,1,7,22,8.406508432990774
762,6,0,0,0,2.5,4.99,4.51,2,10,27,8.263037739390052
9137,1,0,0,0,1.99,3.0,2.71,5,3,20,8.01684216793492
13735,6,4,2,1,0.99,1.0,1.0,1,9,3,8.039360155817802
6626,3,5,1,0,1.5,1.5,1.5,1,11,26,8.701713946644684
3321,2,0,0,0,3.33,4.99,4.55,2,9,30,8.151513147256937
2010,5,5,1,0,1.99,2.5,2.07,3,7,27,8.683573294529978
10777,4,8,2,1,3.99,4.89,3.99,3,0,22,8.635097105379494
14249,3,7,2,1,4.99,4.99,4.99,4,3,21,8.49487743480351
2102,5,0,0,0,2.99,3.49,3.03,3,8,17,7.830703222972536
2544,1,6,1,0,0.99,1.99,1.3,3,11,10,8.663449271451968
244,3,0,0,0,2.5,3.5,3.16,2,4,1,7.99233949642526
1869,2,5,1,0,1.99,2.99,2.59,3,6,30,8.66580062404448
9029,5,2,1,0,2.49,2.49,2.5,5,2,23,8.396847037354016
11886,2,8,2,0,2.0,4.29,3.42,2,6,10,8.440261658183722
7430,5,2,1,0,5.99,5.99,5.99,4,3,21,8.474375239798162
8833,3,0,0,0,2.5,3.99,2.52,5,1,9,7.92074562954166
2680,1,1,1,0,3.29,3.99,3.55,2,0,23,8.125940029819008
5971,3,6,1,0,2.5,3.0,2.55,1,1,21,8.64854823033888
14831,6,8,2,1,3.99,3.99,3.99,4,10,17,8.358393674855996
3100,3,1,1,0,4.49,4.49,4.49,2,6,24,8.120474648263304
9388,6,3,1,0,4.99,5.99,5.65,5,5,15,8.449289282156625
6586,5,0,0,0,2.0,3.79,2.9,1,11,12,8.252766679806431
3583,3,6,1,0,1.99,3.49,3.33,3,0,29,8.735201511893278
5977,4,2,1,0,3.99,3.99,3.99,1,1,21,8.809040322916283
7918,4,6,1,0,1.0,2.99,1.49,4,6,21,8.700411171324157
5452,4,5,1,0,1.48,2.0,2.0,0,4,17,8.892063347252273
6909,3,3,1,0,4.99,5.99,5.34,4,0,14,8.413169831097568
14866,3,8,2,0,1.25,1.25,1.25,4,11,8,8.447165400934251
1403,1,6,1,0,1.78,2.5,1.87,3,4,0,8.676641936652844
15694,1,7,2,0,1.99,2.27,2.09,5,10,2,8.492652678945072
6999,4,0,0,0,2.5,3.49,2.86,4,1,4,7.770454291378344
2926,6,5,1,0,1.99,2.5,2.49,2,4,15,8.478920134700466
14697,5,7,2,0,2.49,3.99,3.21,4,8,29,8.6359044183
170,6,6,1,0,1.99,2.99,2.18,2,2,20,8.58265689649022
10879,2,4,2,1,1.67,1.67,1.67,3,2,5,8.215095217266999
10016,2,3,1,0,4.99,4.99,4.99,5,9,19,8.616963156057233
285,4,5,1,0,2.5,2.99,2.91,2,4,15,8.773950087998788
8167,1,6,1,0,1.5,2.5,2.19,4,8,15,8.42374111404475
7140,1,0,0,1,4.99,4.99,4.99,4,2,3,8.17362778629406
12689,1,7,2,0,2.77,2.77,2.77,3,7,20,8.803855147390092
5122,5,0,0,1,5.99,5.99,5.99,3,10,26,8.056155174364065
2281,3,0,0,0,2.99,3.99,3.99,3,9,22,8.249134845516771
9250,4,1,1,0,3.99,5.99,5.09,5,4,11,8.11586814654385
6641,6,6,1,0,1.79,2.79,2.43,1,11,26,8.720096773130207
7845,4,6,1,0,0.79,3.33,1.01,4,6,7,8.38372401035689
12942,2,4,2,1,0.83,0.92,0.9,3,10,19,8.18971317638456
8583,6,6,1,0,2.0,2.49,2.06,4,11,8,8.493959899458398
7050,3,6,1,0,1.67,3.0,2.82,4,1,11,8.696164528931082
15745,1,7,2,0,2.77,2.77,2.77,5,10,23,8.547004230039825
678,5,2,1,0,2.79,5.5,3.23,2,9,16,8.5640976846908
9390,2,6,1,0,1.49,2.79,1.79,5,5,15,8.716679252101706
703,3,6,1,0,1.98,2.5,2.14,2,9,30,8.750570230022328
14729,3,7,2,1,4.99,4.99,4.99,4,9,6,8.539990029233318
11029,2,7,2,1,5.69,5.69,5.69,3,4,7,8.461339917000668
4860,3,5,1,0,2.5,2.5,2.5,3,9,8,8.625560549626213
6712,6,0,0,1,4.99,4.99,4.99,0,10,29,7.97984257175254
11070,4,8,2,1,2.99,4.29,3.49,3,4,14,8.40027567385668
4182,3,6,1,0,1.88,2.99,2.35,3,4,21,8.626829032783546
10231,6,2,1,0,2.49,3.99,2.98,5,11,0,8.537990408075057
1019,2,2,1,0,2.99,4.5,4.37,3,1,12,8.660241017105523
13180,5,8,2,0,1.25,2.19,1.9,0,6,26,8.489744958070622
9064,4,6,1,1,3.0,3.49,3.38,5,2,30,8.687967596413761
12917,0,8,2,1,3.49,3.49,0.0,3,10,12,8.362937985552565
14816,3,8,2,1,2.5,2.99,2.97,4,10,10,8.463852078133549
8682,2,6,1,0,1.99,2.5,2.21,4,11,29,8.595385163128418
10181,6,0,0,0,3.0,3.99,3.59,5,10,23,7.85807588320633
6487,6,6,1,0,1.5,2.5,2.16,1,9,3,8.592077762247799
11987,2,8,2,1,3.5,4.79,3.54,2,8,18,8.530876784785152
4445,4,3,1,0,4.99,4.99,4.99,3,6,16,8.588533326715606
4942,5,6,1,0,1.79,3.0,1.93,3,9,22,8.53142968544053
4760,2,6,1,0,1.5,2.5,2.26,3,8,17,8.701860230544735
1150,6,1,1,0,3.33,4.99,3.42,3,2,12,7.875339891973752
10124,1,6,1,0,1.99,2.99,2.41,5,10,9,8.673774364982462
13612,6,7,2,0,1.89,3.39,2.99,1,6,25,8.619885922495422
15773,4,7,2,0,1.89,2.49,1.98,5,11,7,8.63316975493438
13942,3,4,2,1,0.83,1.0,0.83,4,0,0,8.098051170976435
6568,6,1,1,0,3.99,3.99,3.99,1,10,28,8.18317397217728
7499,4,2,1,0,2.49,2.49,2.5,4,4,5,8.673960336198663
4188,5,2,1,0,3.49,3.49,3.49,3,4,21,8.625628783872637
7069,1,5,1,0,1.99,2.99,2.38,4,1,18,8.696925832666992
2499,1,1,1,0,2.49,3.99,2.77,3,11,3,8.145695651566657
4320,2,2,1,0,2.99,5.99,5.6,3,5,18,8.595668303728026
2609,3,5,1,0,1.79,2.5,2.22,3,11,24,8.692845449250266
6335,1,2,1,0,4.99,4.99,4.99,1,6,25,8.537619820445473
10805,5,8,2,1,3.89,3.89,3.89,3,1,5,8.320597197956312
13418,1,8,2,1,2.99,3.99,3.03,1,1,21,8.38962456582478
4112,4,3,1,0,7.49,7.49,7.49,3,0,8,8.718429313158655
13677,2,8,2,1,3.99,4.69,4.59,1,8,5,8.4062800118348
10584,5,4,2,1,0.83,0.83,0.83,2,7,7,8.23952613252439
13604,3,4,2,1,1.0,1.0,1.0,1,6,11,8.122551716085885
12181,4,8,2,0,1.79,1.79,1.79,3,1,19,8.502921462807148
110,5,3,1,0,6.99,6.99,6.99,2,1,20,8.502732353253053
3058,1,0,0,0,1.98,3.0,2.21,2,6,10,7.832628803688363
3484,4,3,1,0,7.99,7.99,7.99,2,11,25,8.409442054001879
13305,6,8,2,1,2.69,3.29,2.71,0,9,4,8.397218718463652
7259,3,0,0,0,2.5,2.5,2.5,4,1,25,8.252026243488022
7274,1,3,1,0,4.98,6.49,6.21,4,1,25,8.385792612917472
715,6,5,1,1,3.99,3.99,3.99,2,9,30,8.690799023922056
10647,4,8,2,1,2.5,3.99,2.86,2,9,2,8.460367307325672
1430,4,5,1,0,1.49,3.0,2.78,3,4,7,8.616697191451713
15176,1,8,2,0,2.49,2.49,2.5,5,3,27,8.436000071321024
14108,6,7,2,0,1.85,2.65,2.39,4,2,17,8.474233256806563
10186,5,5,1,0,1.67,2.69,1.92,5,10,23,8.632796372208382
5134,3,5,1,0,1.25,3.98,2.04,3,11,3,8.559652925172493
9077,6,5,1,0,1.99,2.5,2.21,5,3,6,8.696845907139375
7766,2,2,1,0,2.99,3.99,3.08,4,6,0,8.23583206236695
12624,5,7,2,1,4.29,4.29,4.29,3,6,23,8.518838765576149
10412,4,7,2,1,5.69,5.99,5.9,2,2,20,8.472627092443268
12531,2,8,2,1,3.49,4.99,3.62,3,5,18,8.462057244400896
6746,6,2,1,0,3.88,3.88,3.88,0,10,1,8.425398002801648
9759,1,5,1,0,1.67,2.49,2.01,5,8,0,8.869068500944053
2885,5,0,0,0,3.0,3.0,3.0,2,4,1,7.9612199112874205
2363,5,1,1,0,3.48,3.79,3.5,3,10,5,7.684951418771961
882,1,6,1,0,1.98,3.99,2.71,3,0,15,8.721820340975997
1166,6,2,1,0,3.33,4.99,4.74,3,2,12,8.486783091087098
567,5,5,1,1,3.99,3.99,3.99,2,8,4,8.747449801247228
2537,3,1,1,0,1.99,3.99,2.17,3,11,10,7.85551982861577
12886,5,8,2,1,4.49,4.49,4.49,3,9,29,8.34427409531432
5461,2,3,1,0,11.39,11.39,11.39,0,4,17,8.59883373893476
10222,3,6,1,0,1.99,1.99,1.99,5,11,0,8.86061404302384
543,3,5,1,0,2.29,3.0,2.5,2,8,4,8.716525755388652
423,5,0,0,0,2.49,3.0,2.62,2,6,10,7.84232859293177
8780,1,2,1,0,2.99,3.49,3.22,5,0,26,8.260704630369949
13389,4,4,2,1,1.0,1.0,1.0,1,0,24,8.173128105456662
15306,1,8,2,0,2.5,2.5,2.5,5,5,15,8.43436159873219
14307,4,8,2,0,0.99,1.28,1.16,4,4,19,8.484643027071868
10855,4,7,2,1,5.79,6.19,5.88,3,1,26,8.361354052174676
14915,1,7,2,0,1.99,1.99,1.99,4,11,29,8.458077314942052
177,4,6,1,1,2.97,2.97,2.97,2,2,20,8.748602352003013
10328,2,7,2,0,3.85,3.99,3.94,2,0,23,8.491991987729756
1311,2,0,0,0,2.99,3.99,3.61,3,3,16,8.002051982479225
12602,5,8,2,1,2.99,2.99,2.99,3,6,16,8.475670510482976
4898,3,1,1,0,3.99,4.99,4.83,3,9,15,8.019293840771308
2060,6,2,1,0,3.49,3.49,3.49,3,8,3,8.464283033210373
1678,5,6,1,0,1.66,3.5,3.31,3,5,18,8.577791352423391
8140,1,0,0,1,4.49,4.49,4.49,4,8,8,7.635030077263459
2838,1,6,1,0,1.66,2.5,2.44,2,3,3,8.727565151141604
9034,1,0,0,0,2.5,2.5,2.5,5,2,30,8.030396934690573
10375,6,8,2,1,3.99,3.99,3.99,2,1,20,8.363154805220253
4091,6,2,1,0,4.99,4.99,4.99,3,4,7,8.650609963509163
11628,6,7,2,0,1.99,2.88,2.51,3,11,10,8.643578804847387
5439,6,2,1,0,3.99,4.99,4.75,0,4,3,8.625901831177176
11267,5,7,2,1,4.29,4.29,4.29,3,6,23,8.596588671509828
4547,1,1,1,0,3.99,4.99,4.12,3,7,6,8.064049113825437
14390,1,7,2,0,1.49,2.49,2.48,4,5,16,8.57599677605213
2630,4,2,1,0,3.99,3.99,3.99,3,11,24,8.836381461627868
13370,2,8,2,0,2.99,2.99,2.99,1,0,24,8.315622282819497
9559,2,6,1,0,1.66,3.99,2.36,5,6,20,8.733419761036844
6530,1,5,1,0,1.66,2.99,2.47,1,10,14,8.698937318093176
15712,4,8,2,0,0.99,1.79,1.66,5,10,9,8.230454641480623
2443,3,6,1,0,1.99,2.99,2.12,3,10,19,8.681397901349156
14891,2,8,2,1,3.99,5.99,4.47,4,11,15,8.469145541257555
13589,3,8,2,0,1.5,1.5,1.5,1,6,11,8.418218386421335
4716,1,1,1,0,2.99,5.99,5.58,3,8,10,8.1073400900885
8964,1,0,0,1,4.49,4.49,4.49,5,2,9,8.161507346105537
1455,3,5,1,1,3.99,3.99,3.99,3,4,7,8.697687474823265
15552,4,8,2,1,2.99,2.99,2.99,5,8,7,8.508047477188045
6734,4,3,1,0,5.0,5.0,5.0,0,10,1,8.583359506444014
10301,6,6,1,0,1.67,3.5,2.31,5,11,14,8.716051212364588
15238,4,4,2,1,1.0,1.0,1.0,5,4,11,8.230411874967867
743,5,6,1,0,2.0,3.29,2.11,2,10,13,8.56465073262772
1321,6,5,1,0,1.67,2.99,2.81,3,3,16,8.642844489866688
7924,4,2,1,0,2.99,5.0,4.37,4,6,21,8.604794707027752
7829,3,5,1,0,1.0,2.99,2.04,4,6,7,8.543586753923854
5237,1,6,1,1,4.5,4.5,4.5,3,11,17,8.68905747512169
2045,1,1,1,0,1.99,2.99,2.17,3,8,3,8.103329959250235
924,6,2,1,0,4.99,4.99,4.99,3,0,22,8.72427154718851
1736,5,1,1,0,2.99,3.29,3.12,3,6,2,7.825832598497925
14745,6,8,2,1,2.99,4.99,4.06,4,9,13,8.461942501519369
2185,5,5,1,0,1.88,3.0,2.37,3,9,1,8.576706533635258
10437,2,7,2,0,2.99,2.99,2.99,2,3,17,8.707229784622315
5955,6,0,0,0,2.0,3.49,3.24,1,1,21,8.143353983466117
4080,5,3,1,0,6.98,6.98,6.98,3,4,7,8.529504178196621
6520,6,6,1,0,1.79,2.99,2.08,1,10,0,8.514936033059742
12414,3,8,2,0,1.25,1.25,1.25,3,4,14,8.453468384977821
921,2,2,1,0,3.29,3.29,3.29,3,0,22,8.62583159648648
9543,1,5,1,0,1.66,2.0,1.96,5,6,20,8.616456606984622
13873,4,7,2,0,1.97,1.97,1.97,0,10,1,8.737811156268402
